0.0199463 0.167314 0.39779 0.608465 0.724164 
0.0253453 0.212912 0.509917 0.790807 0.952601 
0.0340812 0.286693 0.691342 1.08584 1.32222 
0.042817 0.360473 0.872766 1.38088 1.69184 
0.0482161 0.406071 0.984893 1.56322 1.92028 
0.0501412 0.422302 1.02447 1.62664 1.9988 
0.0590311 0.497175 1.20611 1.91504 2.35318 
0.0734152 0.618322 1.5 2.38168 2.92658 
0.0877994 0.739469 1.79389 2.84832 3.49999 
0.0966892 0.814342 1.97553 3.13671 3.85437 
1.02429 1.20596 1.49991 1.79385 1.97552 
1.01172 1.19573 1.49346 1.7912 1.97521 
0.950214 1.14568 1.46194 1.7782 1.97367 
0.840904 1.05672 1.40591 1.75511 1.97092 
0.751876 0.984267 1.36028 1.7363 1.96869 
2.04894 2.41221 3 3.58779 3.95106 
2.04894 2.41221 3 3.58779 3.95106 
2.04894 2.41221 3 3.58779 3.95106 
2.04894 2.41221 3 3.58779 3.95106 
2.04894 2.41221 3 3.58779 3.95106 
